DATA_NAME,SORT,TRIAL,DURATION[ms]
100000/100000/4,radix,9,170
100000/100000/4_almost,radix,0,213
100000/100000/4_almost,radix,1,272
100000/100000/4_almost,radix,2,229
100000/100000/4_almost,radix,3,218
100000/100000/4_almost,radix,4,220
100000/100000/4_almost,radix,5,206
100000/100000/4_almost,radix,6,348
100000/100000/4_almost,radix,7,243
100000/100000/4_almost,radix,8,206
100000/100000/4_almost,radix,9,199
500000/500000/0,radix,0,851
500000/500000/0,radix,1,823
500000/500000/0,radix,2,1021
500000/500000/0,radix,3,820
500000/500000/0,radix,4,926
500000/500000/0,radix,5,997
500000/500000/0,radix,6,779
500000/500000/0,radix,7,881
500000/500000/0,radix,8,1089
500000/500000/0,radix,9,1039
500000/500000/0_almost,radix,0,916
500000/500000/0_almost,radix,1,772
500000/500000/0_almost,radix,2,762
500000/500000/0_almost,radix,3,882
500000/500000/0_almost,radix,4,757
500000/500000/0_almost,radix,5,861
500000/500000/0_almost,radix,6,755
500000/500000/0_almost,radix,7,747
500000/500000/0_almost,radix,8,851
500000/500000/0_almost,radix,9,918
500000/500000/1,radix,0,780
500000/500000/1,radix,1,718
500000/500000/1,radix,2,776
500000/500000/1,radix,3,1000
500000/500000/1,radix,4,806
500000/500000/1,radix,5,726
500000/500000/1,radix,6,756
500000/500000/1,radix,7,788
500000/500000/1,radix,8,826
500000/500000/1,radix,9,774
500000/500000/1_almost,radix,0,705
500000/500000/1_almost,radix,1,832
500000/500000/1_almost,radix,2,746
500000/500000/1_almost,radix,3,805
500000/500000/1_almost,radix,4,765
500000/500000/1_almost,radix,5,861
500000/500000/1_almost,radix,6,721
500000/500000/1_almost,radix,7,743
500000/500000/1_almost,radix,8,791
500000/500000/1_almost,radix,9,883
500000/500000/2,radix,0,770
500000/500000/2,radix,1,714
500000/500000/2,radix,2,754
500000/500000/2,radix,3,835
500000/500000/2,radix,4,737
500000/500000/2,radix,5,728
500000/500000/2,radix,6,731
500000/500000/2,radix,7,717
500000/500000/2,radix,8,927
500000/500000/2,radix,9,852
500000/500000/2_almost,radix,0,795
500000/500000/2_almost,radix,1,763
500000/500000/2_almost,radix,2,887
500000/500000/2_almost,radix,3,871
500000/500000/2_almost,radix,4,748
500000/500000/2_almost,radix,5,785
500000/500000/2_almost,radix,6,813
500000/500000/2_almost,radix,7,839
500000/500000/2_almost,radix,8,859
500000/500000/2_almost,radix,9,783
500000/500000/3,radix,0,705
500000/500000/3,radix,1,776
500000/500000/3,radix,2,812
500000/500000/3,radix,3,847
500000/500000/3,radix,4,713
500000/500000/3,radix,5,847
500000/500000/3,radix,6,714
500000/500000/3,radix,7,768
500000/500000/3,radix,8,793
500000/500000/3,radix,9,761
500000/500000/3_almost,radix,0,760
500000/500000/3_almost,radix,1,779
500000/500000/3_almost,radix,2,780
500000/500000/3_almost,radix,3,819
500000/500000/3_almost,radix,4,801
500000/500000/3_almost,radix,5,765
500000/500000/3_almost,radix,6,705
500000/500000/3_almost,radix,7,819
500000/500000/3_almost,radix,8,790
500000/500000/3_almost,radix,9,865
500000/500000/4,radix,0,894
500000/500000/4,radix,1,1138
500000/500000/4,radix,2,1261
500000/500000/4,radix,3,845
500000/500000/4,radix,4,838
500000/500000/4,radix,5,956
500000/500000/4,radix,6,830
500000/500000/4,radix,7,907
500000/500000/4,radix,8,911
500000/500000/4,radix,9,837
500000/500000/4_almost,radix,0,773
500000/500000/4_almost,radix,1,874
500000/500000/4_almost,radix,2,757
500000/500000/4_almost,radix,3,740
500000/500000/4_almost,radix,4,904
500000/500000/4_almost,radix,5,827
